max_depth	min_split	vmin_bucket	ganancia_promedio
6	800	5	19158667
6	800	10	19397333
6	800	15	19594667
6	800	20	19644000
6	600	5	18976000
6	600	10	19448000
6	600	15	19648000
6	600	20	19629333
6	400	5	18841333
6	400	10	19401333
6	400	15	19596000
6	400	20	19472000
8	800	5	20193333
8	800	10	20468000
8	800	15	20065333
8	800	20	20158667
8	600	5	20213333
8	600	10	21024000
8	600	15	19962667
8	600	20	20057333
8	400	5	20068000
8	400	10	20293333
8	400	15	19461333
8	400	20	19202667
10	800	5	19649333
10	800	10	19264000
10	800	15	19452000
10	800	20	19598667
10	600	5	19601333
10	600	10	19597333
10	600	15	19249333
10	600	20	19557333
10	400	5	19212000
10	400	10	18673333
10	400	15	18890667
10	400	20	18832000
