max_depth	min_split	vmin_bucket	ganancia_promedio
4	1000	5	18681333
4	1000	10	18593333
4	1000	15	18593333
4	1000	20	18622667
4	800	5	18681333
4	800	10	18593333
4	800	15	18593333
4	800	20	18622667
4	600	5	18525333
4	600	10	18589333
4	600	15	18541333
4	600	20	18536000
4	400	5	18509333
4	400	10	18605333
4	400	15	18557333
4	400	20	18552000
4	200	5	18517333
4	200	10	18613333
4	200	15	18565333
4	200	20	18560000
4	100	5	18517333
4	100	10	18613333
4	100	15	18565333
4	100	20	18560000
4	50	5	18517333
4	50	10	18613333
4	50	15	18565333
4	50	20	18560000
4	20	5	18517333
4	20	10	18613333
4	20	15	18565333
4	20	20	18560000
4	10	5	18517333
4	10	10	18613333
4	10	15	18565333
4	10	20	18560000
6	1000	5	19154667
6	1000	10	19397333
6	1000	15	19640000
6	1000	20	19689333
6	800	5	19158667
6	800	10	19397333
6	800	15	19594667
6	800	20	19644000
6	600	5	18976000
6	600	10	19448000
6	600	15	19648000
6	600	20	19629333
6	400	5	18841333
6	400	10	19401333
6	400	15	19596000
6	400	20	19472000
6	200	5	18850667
6	200	10	19410667
6	200	15	19609333
6	200	20	19474667
6	100	5	18974667
6	100	10	19224000
6	100	15	19369333
6	100	20	19265333
6	50	5	19032000
6	50	10	19253333
6	50	15	19468000
6	50	20	19280000
6	20	5	19089333
6	20	10	19221333
6	20	15	19477333
6	20	20	19356000
6	10	5	19130667
6	10	10	19221333
6	10	15	19477333
6	10	20	19356000
8	1000	5	20174667
8	1000	10	20269333
8	1000	15	19589333
8	1000	20	19944000
8	800	5	20193333
8	800	10	20468000
8	800	15	20065333
8	800	20	20158667
8	600	5	20213333
8	600	10	21024000
8	600	15	19962667
8	600	20	20057333
8	400	5	20068000
8	400	10	20293333
8	400	15	19461333
8	400	20	19202667
8	200	5	20026667
8	200	10	19941333
8	200	15	19002667
8	200	20	18574667
8	100	5	19328000
8	100	10	19482667
8	100	15	18418667
8	100	20	17954667
8	50	5	19445333
8	50	10	19092000
8	50	15	17817333
8	50	20	17746667
8	20	5	19220000
8	20	10	19028000
8	20	15	17592000
8	20	20	17788000
8	10	5	19242667
8	10	10	19028000
8	10	15	17592000
8	10	20	17788000
10	1000	5	19665333
10	1000	10	19185333
10	1000	15	19056000
10	1000	20	19353333
10	800	5	19649333
10	800	10	19264000
10	800	15	19452000
10	800	20	19598667
10	600	5	19601333
10	600	10	19597333
10	600	15	19249333
10	600	20	19557333
10	400	5	19212000
10	400	10	18673333
10	400	15	18890667
10	400	20	18832000
10	200	5	19013333
10	200	10	18208000
10	200	15	18282667
10	200	20	18156000
10	100	5	18126667
10	100	10	17238667
10	100	15	16829333
10	100	20	16674667
10	50	5	17498667
10	50	10	16366667
10	50	15	15686667
10	50	20	16241333
10	20	5	16876000
10	20	10	15574667
10	20	15	14950667
10	20	20	16454667
10	10	5	16634667
10	10	10	15574667
10	10	15	14950667
10	10	20	16454667
12	1000	5	19558667
12	1000	10	18688000
12	1000	15	18526667
12	1000	20	18881333
12	800	5	19576000
12	800	10	18669333
12	800	15	18980000
12	800	20	19093333
12	600	5	19518667
12	600	10	19017333
12	600	15	18588000
12	600	20	18674667
12	400	5	19234667
12	400	10	17948000
12	400	15	18226667
12	400	20	17670667
12	200	5	18452000
12	200	10	17208000
12	200	15	17444000
12	200	20	16665333
12	100	5	16560000
12	100	10	15446667
12	100	15	15576000
12	100	20	14346667
12	50	5	16145333
12	50	10	14482667
12	50	15	13993333
12	50	20	13402667
12	20	5	14640000
12	20	10	13089333
12	20	15	12920000
12	20	20	13614667
12	10	5	13664000
12	10	10	13089333
12	10	15	12920000
12	10	20	13614667
14	1000	5	19026667
14	1000	10	18445333
14	1000	15	18098667
14	1000	20	18412000
14	800	5	19074667
14	800	10	18440000
14	800	15	18485333
14	800	20	18597333
14	600	5	18788000
14	600	10	18778667
14	600	15	18066667
14	600	20	18021333
14	400	5	18472000
14	400	10	17654667
14	400	15	17653333
14	400	20	16865333
14	200	5	17657333
14	200	10	16772000
14	200	15	16697333
14	200	20	16061333
14	100	5	15688000
14	100	10	14916000
14	100	15	14632000
14	100	20	13605333
14	50	5	14242667
14	50	10	12973333
14	50	15	12626667
14	50	20	12020000
14	20	5	12857333
14	20	10	11769333
14	20	15	11497333
14	20	20	12272000
14	10	5	11549333
14	10	10	11769333
14	10	15	11497333
14	10	20	12272000
