max_depth	min_split	vmin_bucket	ganancia_promedio
6	800	5	19181333
6	800	10	19397333
6	800	15	19492000
6	800	20	19629333
6	600	5	18998667
6	600	10	19448000
6	600	15	19545333
6	600	20	19614667
6	400	5	18864000
6	400	10	19401333
6	400	15	19493333
6	400	20	19457333
8	800	5	20004000
8	800	10	20262667
8	800	15	20020000
8	800	20	20196000
8	600	5	19922667
8	600	10	20708000
8	600	15	19926667
8	600	20	20094667
8	400	5	19817333
8	400	10	19977333
8	400	15	19505333
8	400	20	19184000
10	800	5	19698667
10	800	10	19314667
10	800	15	19554667
10	800	20	19661333
10	600	5	19600000
10	600	10	19633333
10	600	15	19361333
10	600	20	19620000
10	400	5	19312000
10	400	10	18706667
10	400	15	19082667
10	400	20	18828000
