max_depth	min_split	ganancia_promedio
4	1000	18604000
4	800	18598667
4	600	18569333
4	400	18565333
4	200	18585333
4	100	18585333
4	50	18585333
4	20	18585333
4	10	18585333
6	1000	18468000
6	800	18401333
6	600	18642667
6	400	18814667
6	200	18742667
6	100	18790667
6	50	18770667
6	20	18768000
6	10	18749333
8	1000	19734667
8	800	19897333
8	600	20192000
8	400	20418667
8	200	20441333
8	100	19912000
8	50	19834667
8	20	19649333
8	10	19584000
10	1000	19308000
10	800	19440000
10	600	19556000
10	400	19532000
10	200	18697333
10	100	18268000
10	50	17530667
10	20	17065333
10	10	16440000
12	1000	18889333
12	800	18630667
12	600	18769333
12	400	19098667
12	200	17664000
12	100	17129333
12	50	16017333
12	20	15041333
12	10	14344000
14	1000	18418667
14	800	18160000
14	600	18453333
14	400	18834667
14	200	17306667
14	100	16280000
14	50	14152000
14	20	12400000
14	10	11272000
