max_depth	min_split	ganancia_promedio
4	1000	5	18681333
4	1000	6	18642667
4	1000	7	18832000
4	1000	8	18493333
4	1000	9	18493333
4	1000	10	18593333
4	1000	15	18593333
4	1000	20	18640000
4	800	5	18681333
4	800	6	18642667
4	800	7	18832000
4	800	8	18493333
4	800	9	18493333
4	800	10	18593333
4	800	15	18593333
4	800	20	18640000
4	600	5	18525333
4	600	6	18472000
4	600	7	18674667
4	600	8	18489333
4	600	9	18489333
4	600	10	18589333
4	600	15	18541333
4	600	20	18553333
4	400	5	18509333
4	400	6	18456000
4	400	7	18690667
4	400	8	18505333
4	400	9	18505333
4	400	10	18605333
4	400	15	18557333
4	400	20	18569333
4	200	5	18517333
4	200	6	18464000
4	200	7	18698667
4	200	8	18513333
4	200	9	18513333
4	200	10	18613333
4	200	15	18565333
4	200	20	18577333
4	100	5	18517333
4	100	6	18464000
4	100	7	18698667
4	100	8	18513333
4	100	9	18513333
4	100	10	18613333
4	100	15	18565333
4	100	20	18577333
4	50	5	18517333
4	50	6	18464000
4	50	7	18698667
4	50	8	18513333
4	50	9	18513333
4	50	10	18613333
4	50	15	18565333
4	50	20	18577333
4	20	5	18517333
4	20	6	18464000
4	20	7	18698667
4	20	8	18513333
4	20	9	18513333
4	20	10	18613333
4	20	15	18565333
4	20	20	18577333
4	10	5	18517333
4	10	6	18464000
4	10	7	18698667
4	10	8	18513333
4	10	9	18513333
4	10	10	18613333
4	10	15	18565333
4	10	20	18577333
6	1000	5	19177333
6	1000	6	19177333
6	1000	7	19361333
6	1000	8	19113333
6	1000	9	19092000
6	1000	10	19397333
6	1000	15	19537333
6	1000	20	19466667
6	800	5	19181333
6	800	6	19177333
6	800	7	19361333
6	800	8	19113333
6	800	9	19092000
6	800	10	19397333
6	800	15	19492000
6	800	20	19629333
6	600	5	18998667
6	600	6	18918667
6	600	7	19156000
6	600	8	19041333
6	600	9	19085333
6	600	10	19448000
6	600	15	19545333
6	600	20	19614667
6	400	5	18864000
6	400	6	18733333
6	400	7	19097333
6	400	8	18996000
6	400	9	19045333
6	400	10	19401333
6	400	15	19493333
6	400	20	19457333
6	200	5	18873333
6	200	6	18738667
6	200	7	19082667
6	200	8	19001333
6	200	9	19044000
6	200	10	19410667
6	200	15	19506667
6	200	20	19460000
6	100	5	18997333
6	100	6	18873333
6	100	7	19134667
6	100	8	18792000
6	100	9	18800000
6	100	10	19224000
6	100	15	19266667
6	100	20	19250667
6	50	5	19054667
6	50	6	18930667
6	50	7	19190667
6	50	8	18918667
6	50	9	18925333
6	50	10	19253333
6	50	15	19365333
6	50	20	19316000
6	20	5	19112000
6	20	6	19002667
6	20	7	19261333
6	20	8	18894667
6	20	9	18957333
6	20	10	19221333
6	20	15	19374667
6	20	20	19392000
6	10	5	19153333
6	10	6	19042667
6	10	7	19184000
6	10	8	18922667
6	10	9	18957333
6	10	10	19221333
6	10	15	19374667
6	10	20	19392000
8	1000	5	19985333
8	1000	6	20060000
8	1000	7	20320000
8	1000	8	19917333
8	1000	9	19716000
8	1000	10	20064000
8	1000	15	19544000
8	1000	20	19773333
8	800	5	20004000
8	800	6	20286667
8	800	7	20308000
8	800	8	20168000
8	800	9	19946667
8	800	10	20262667
8	800	15	20020000
8	800	20	20196000
8	600	5	19922667
8	600	6	20185333
8	600	7	20293333
8	600	8	20326667
8	600	9	20112000
8	600	10	20708000
8	600	15	19926667
8	600	20	20094667
8	400	5	19817333
8	400	6	19736000
8	400	7	19825333
8	400	8	19492000
8	400	9	19318667
8	400	10	19977333
8	400	15	19505333
8	400	20	19184000
8	200	5	19776000
8	200	6	19161333
8	200	7	19622667
8	200	8	19225333
8	200	9	18980000
