fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 221726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	69	TRUE	363373	0.108082851921208	0.643298308225349	6769	145	7905	32131000	1
20221002 221748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	68	TRUE	363373	0.244239448092412	0.793569001555443	4714	829	9263	33749000	2
20221002 221807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	21	TRUE	363373	0.226847939332947	0.705044408077374	1717	93	9706	34166000	3
20221002 221843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	156	TRUE	363373	0.257999630288687	0.732286184225232	3984	489	10191	34634000	4
20221002 221912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	38	TRUE	363373	0.213550513994414	0.414648633087054	1344	362	13808	36624000	5
20221002 221944	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	122	TRUE	363373	0.148540212051012	0.21066530585289	3277	310	10534	34105000	6
20221002 222019	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	68	TRUE	363373	0.205978814694099	0.28701999633573	806	882	12358	34724000	7
20221002 222033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	21	TRUE	363373	0.189389364328235	0.356531064352021	5858	930	5926	29152000	8
20221002 222054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	93	TRUE	363373	0.177149322489277	0.872911453638226	5473	662	11968	35399000	9
20221002 222111	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	53	TRUE	363373	0.283074191079941	0.592325146151707	6993	799	13179	36142000	10
20221002 222127	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	23	TRUE	363373	0.269307468312327	0.615934027777985	2126	1015	8431	32319000	11
20221002 222144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	33	TRUE	363373	0.168433515017387	0.5465608316008	7705	194	7487	31781000	12
20221002 222208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	70	TRUE	363373	0.113666794700548	0.942795354472473	3104	700	14944	36559000	13
20221002 222221	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	29	TRUE	363373	0.270032348386012	0.894144696071744	5045	228	12686	36092000	14
20221002 222415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	226	TRUE	363373	0.138828558691312	0.46462615753524	497	765	6113	29102000	15
20221002 222433	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	55	TRUE	363373	0.233099390503485	0.264569801399484	4395	451	5090	28494000	16
20221002 222457	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	107	TRUE	363373	0.125852740108967	0.801995810726658	2477	34	8923	33220000	17
20221002 222518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	67	TRUE	363373	0.15588745467132	0.362396926879883	6271	539	14097	35991000	18
20221002 222625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	73	TRUE	363373	0.296308799115941	0.487788541205227	247	413	11185	32613000	19
20221002 222640	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	54	TRUE	363373	0.195754810259677	0.97480324218981	7331	576	6674	30314000	20
20221002 222655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	21	TRUE	363373	0.212633970418718	0.886265314397295	2939	566	13943	35463000	21
20221002 222737	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	55	TRUE	363373	0.109300314377469	0.389791219805562	668	227	15000	36196000	22
20221002 222750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	35	TRUE	363373	0.212525029606686	0.30727609918143	4480	16	13258	36452000	23
20221002 222818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	51	TRUE	363373	0.133521985461763	0.524336310474906	1951	1023	14995	36360000	24
20221002 222912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	147	TRUE	363373	0.10110562628808	0.370799105342141	1765	347	13541	36651000	25
