fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 122259	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	363373	0.234328594108112	0.713431052947417	3444	447	8259	25410000	3
20221002 122324	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	363373	0.164280108119419	0.775790737578645	2556	229	13346	24990000	4
20221002 122359	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	363373	0.216599013471161	0.548634485704824	1585	491	10220	25560000	5
20221002 122556	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	290	TRUE	363373	0.036775702801242	0.511632141899317	4225	639	11566	25430000	6
20221002 122638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	363373	0.119692653638427	0.234905924843624	2148	111	10822	25640000	7
20221002 122705	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	363373	0.245869609847548	0.755721867298707	4947	191	9700	25240000	8
20221002 122748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	363373	0.139051206008007	0.248105118153617	1692	820	7230	25300000	9
20221002 122933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	394	TRUE	363373	0.0778643647552817	0.376477353489026	6522	1020	12937	24370000	10
20221002 122955	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	363373	0.264154783768638	0.860531171672046	5944	685	6931	24460000	11
20221002 123045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	363373	0.130245555751433	0.620020926622674	3098	301	11478	25850000	12
20221002 123115	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	59	TRUE	363373	0.208898584504321	0.598161765718833	3798	853	12215	25010000	13
20221002 123445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	817	TRUE	363373	0.0220472164187231	0.965204610386863	7593	934	8717	26170000	14
20221002 123517	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	363373	0.191583786452655	0.426539376191795	5390	24	6140	24280000	15
20221002 123648	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	363373	0.0850184748999309	0.834509076159448	732	908	9152	26580000	16
20221002 123732	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	363373	0.174831702276948	0.347127367854118	7937	723	7565	25830000	17
20221002 123807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	68	TRUE	363373	0.0621492909863009	0.949629917861894	7099	149	13537	23890000	18
20221002 123947	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	363373	0.272866213062021	0.443419663477689	137	590	5680	23200000	19
20221002 124048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	363373	0.105051759298833	0.305857796818018	1020	529	14728	22870000	20
20221002 124250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	318	TRUE	363373	0.0183400472383946	0.896486033229157	4457	375	5460	24520000	21
20221002 124313	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	363373	0.299676736157329	0.664680426456034	6222	325	14077	23050000	22
20221002 124344	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	363373	0.0986136787460188	0.702511742642953	4150	926	9042	26320000	23
20221002 131458	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1079	TRUE	363373	0.00519606032573855	0.775883540541934	32	615	9062	27080000	24
20221002 133920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1402	TRUE	363373	0.00513555636081298	0.366645484798008	312	676	8920	26800000	25
20221002 140121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	540	TRUE	363373	0.00511783315471346	0.947544421897583	258	423	9242	26880000	26
20221002 142821	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	743	TRUE	363373	0.00515192068048402	0.938066945292135	42	664	8811	27660000	27
