Feature	Gain	Cover	Frequency
ctrx_quarter	0.224429528871948	0.0355031491334049	0.0380952380952381
mcuenta_corriente	0.0793035743436004	0.0274165752937143	0.022172619047619
cpayroll_trx	0.0416608023959024	0.0192004555625123	0.0037202380952381
mrentabilidad_annual	0.0349507721665495	0.0318081394415347	0.0380952380952381
Visa_fechaalta	0.0264014058697683	0.0203590431733801	0.0325892857142857
mcomisiones_otras	0.0243151214198278	0.0238491491807499	0.0305059523809524
mpasivos_margen	0.0226377268617323	0.0282130164502246	0.028422619047619
mrentabilidad	0.0222639331762684	0.0244404870955454	0.0308035714285714
mtarjeta_visa_consumo	0.0196450142749158	0.0188021892523956	0.025
cliente_edad	0.0195449980832819	0.0240832713673538	0.0328869047619048
ctarjeta_debito_transacciones	0.0180027187418121	0.0174304745368279	0.0171130952380952
mactivos_margen	0.0179669476996765	0.0235827985040626	0.0241071428571429
Master_fechaalta	0.0171401261888869	0.0212714603308404	0.0272321428571429
Visa_msaldopesos	0.0167956645207451	0.0182187504773263	0.0267857142857143
Master_Fvencimiento	0.0167764835128522	0.0221435918756965	0.0264880952380952
numero_de_cliente	0.0166512735718501	0.023353781656187	0.0319940476190476
cprestamos_personales	0.0163935222078252	0.00591464301031193	0.00357142857142857
mcaja_ahorro_dolares	0.0163405449774856	0.0229901385227233	0.0230654761904762
mprestamos_personales	0.0161157632304701	0.0224743413283631	0.00922619047619048
cliente_antiguedad	0.0158931436983302	0.0212748860630165	0.0294642857142857
Visa_cconsumos	0.0144474665678839	0.0133278027160086	0.0229166666666667
Visa_mpagospesos	0.0141908316171793	0.0174236979064311	0.0230654761904762
Visa_mfinanciacion_limite	0.0135220191777194	0.0142833159168389	0.0245535714285714
Visa_mpagominimo	0.0119609051043494	0.0125764032857062	0.0180059523809524
Master_mlimitecompra	0.0115288639249178	0.0123855184954989	0.0193452380952381
chomebanking_transacciones	0.0112664712791137	0.0140524781093843	0.0200892857142857
cdescubierto_preacordado	0.0111303119101234	0.00708915362389124	0.00223214285714286
mautoservicio	0.0110578463396261	0.0219443007378437	0.0308035714285714
Master_mfinanciacion_limite	0.0108995276515743	0.0110331691445866	0.0205357142857143
mttarjeta_visa_debitos_automaticos	0.0101053583018901	0.0123235726102768	0.0186011904761905
ctarjeta_visa_transacciones	0.00999058610710931	0.015226306902482	0.0174107142857143
Visa_mconsumospesos	0.00966729299843928	0.0138471337360359	0.0178571428571429
Visa_msaldototal	0.00963967413918727	0.0145150018424536	0.0177083333333333
Visa_status	0.00924763576011651	0.00727055944642696	0.00148809523809524
ccomisiones_otras	0.00914832645556343	0.0112491648842396	0.0142857142857143
Visa_mconsumototal	0.00822022444471107	0.00833780805740689	0.0141369047619048
Visa_mlimitecompra	0.00803009759282315	0.0142993636428092	0.0144345238095238
mcuenta_debitos_automaticos	0.0079050158507182	0.0171240128600988	0.0136904761904762
ccomisiones_mantenimiento	0.00757355688009993	0.0133729691654753	0.00922619047619048
Master_status	0.00700127950476183	0.00437051917661263	0.00178571428571429
ctransferencias_recibidas	0.00641299527730115	0.013548687607408	0.0123511904761905
cproductos	0.00632959794843877	0.0129412520773386	0.0114583333333333
Master_msaldopesos	0.00537682458873678	0.00999804924508296	0.00863095238095238
falto_costo_mantenimiento	0.00534614215632553	0.00820056258338322	0.00446428571428571
ctransferencias_emitidas	0.00487001584750906	0.012885151555514	0.0107142857142857
ctarjeta_visa	0.00412383781085874	0.00138416209679953	0.000595238095238095
mextraccion_autoservicio	0.00397010492715933	0.00994380294237301	0.0117559523809524
cpagomiscuentas	0.00380759411757888	0.00930461287060383	0.00714285714285714
ccallcenter_transacciones	0.00367107399011006	0.0150641999255302	0.00386904761904762
ctarjeta_debito	0.0035393677541101	0.00422028585390212	0.00580357142857143
ccaja_seguridad	0.00352049084197176	0.0125431437500165	0.00193452380952381
Master_mpagospesos	0.00339610478863131	0.014459217286218	0.00639880952380952
cmobile_app_trx	0.00338766510009496	0.00302941154876346	0.00461309523809524
cextraccion_autoservicio	0.00337111263041453	0.0125068742263468	0.00788690476190476
ctarjeta_visa_debitos_automaticos	0.00325637229065244	0.00595385600289012	0.0056547619047619
ccajas_consultas	0.00294723445698349	0.0102818694928913	0.00178571428571429
thomebanking	0.00279876567193005	0.00226236350691904	0.00223214285714286
ccajas_transacciones	0.00275387401620374	0.00157445653024833	0.000744047619047619
matm	0.00269205546589931	0.00930169434634706	0.00892857142857143
Master_mconsumototal	0.00258977350850123	0.0050732017020135	0.00416666666666667
Visa_fultimo_cierre	0.00249153607283061	0.00297831658706011	0.00386904761904762
Master_mconsumospesos	0.00239202917187042	0.00508157479012339	0.00446428571428571
internet	0.00219166145013139	0.00912593432999468	0.00193452380952381
mtarjeta_master_consumo	0.00214333046877255	0.00807577280547534	0.00401785714285714
matm_other	0.00191734075057472	0.00380582214990454	0.00446428571428571
ccuenta_debitos_automaticos	0.00181570025414624	0.00603327145923328	0.00505952380952381
catm_trx	0.00178929522463537	0.00589645004428965	0.00416666666666667
tmobile_app	0.00174446263663951	0.00651577585836813	0.00119047619047619
tcallcenter	0.0017279955466104	0.00324223100275812	0.00208333333333333
ctarjeta_master_transacciones	0.00167795526363869	0.00119790869693704	0.00208333333333333
Master_cconsumos	0.0013865649775246	0.00255006680551913	0.00297619047619048
fpoco_uso	0.00118708981513119	0.0032546035500347	0.00238095238095238
ccaja_ahorro	0.00107447213320216	0.00312028491515172	0.00133928571428571
minversion2	0.000770100092663496	0.00532767872445956	0.00104166666666667
Master_mconsumosdolares	0.000730826096314895	0.000538912571664633	0.00119047619047619
Master_msaldodolares	0.000675013107135565	0.00186292479816929	0.000892857142857143
cseguro_accidentes_personales	0.000645489933013009	0.000622859639745514	0.000744047619047619
catm_trx_other	0.000535708637025682	0.00068730830502829	0.00133928571428571
mcaja_ahorro_adicional	0.00052947685936433	0.00364008988356261	0.000744047619047619
mtarjeta_visa_descuentos	0.000522746275101286	0.00360559143016843	0.000892857142857143
cseguro_vida	0.000488802272935664	0.00164099223139564	0.000744047619047619
mcheques_depositados	0.000406960965061126	0.00282949679461641	0.000595238095238095
