Feature	Gain	Cover	Frequency
ctrx_quarter	0.162563213468788	0.0392947253582452	0.0458447107763959
mpasivos_margen	0.0467178193719563	0.0335626148695068	0.0559456193808829
mcuenta_corriente	0.0434172370940148	0.0246696079018055	0.035952301404481
cpayroll_trx	0.043151743526609	0.0326262837853741	0.00255725564769156
mrentabilidad_annual	0.0397515219509466	0.0297974554290057	0.0491455299522964
cliente_edad	0.0362172896506098	0.0274940634135726	0.0454101280386251
numero_de_cliente	0.0302770913846178	0.0242306883564616	0.0404865317031875
Master_Fvencimiento	0.0287590105502092	0.0246164617372582	0.0350605275784196
mrentabilidad	0.0272892288525361	0.0183877767988992	0.0275947478289703
cliente_antiguedad	0.0252559473644387	0.0192223633867856	0.0317396120909459
Master_fechaalta	0.0244030675566411	0.0185044505229391	0.0297098846220512
mprestamos_personales	0.0239035309580864	0.0248277060599375	0.00931966449207829
Visa_fechaalta	0.0234098372092542	0.0192832214447208	0.0272330142206525
mcomisiones_otras	0.0227802661079029	0.0205711392873119	0.027200357714346
Master_mfinanciacion_limite	0.0221313009996065	0.0171841710240907	0.0272907911164255
mactivos_margen	0.0208864021662235	0.0215669763038815	0.0283785039803257
Visa_mfinanciacion_limite	0.0198172842606549	0.016418938732011	0.025685598229515
chomebanking_transacciones	0.0191089798494517	0.012188959624013	0.0259066576568203
Visa_mpagominimo	0.0170046166744144	0.0152861535552361	0.0245727649761482
mcaja_ahorro_dolares	0.014930612724287	0.0224064923479213	0.0177525792359885
Visa_mpagospesos	0.0145150936702915	0.0170104517520106	0.0216537757201388
Visa_mconsumospesos	0.0141623529445408	0.0131489345988569	0.0201942810921341
mtarjeta_visa_consumo	0.0126093961864684	0.0151279697645577	0.0174586706792302
ccomisiones_otras	0.0123274217233374	0.0165500036880635	0.0179083256506809
Visa_cconsumos	0.0113558672250336	0.00674030155145058	0.015627394287121
cproductos	0.010688066240114	0.0247577666083966	0.0148160057073525
Visa_msaldopesos	0.00985326962311623	0.0129915463221246	0.012690820758485
ctarjeta_visa_transacciones	0.00968367518188073	0.0093913679108095	0.0155168645734683
mttarjeta_visa_debitos_automaticos	0.00925891447352132	0.00491317542055932	0.0120025220871024
ctransferencias_recibidas	0.00918115373601964	0.0169950689199309	0.0128741996015906
Visa_msaldototal	0.00814336325664051	0.00820318344067403	0.0142583330611958
mautoservicio	0.00808078702599348	0.0120946595745783	0.0118517997503033
Visa_status	0.00775540734108638	0.0155092679140127	0.00297927819072907
mcuenta_debitos_automaticos	0.00749424962500777	0.00981045421376015	0.00885744932589435
ctarjeta_debito_transacciones	0.00709459819202535	0.00909807519809782	0.0107665989253497
cdescubierto_preacordado	0.00702820452627081	0.0114743498184625	0.00394892522413668
ctarjeta_debito	0.00641442268047828	0.0071844676415801	0.0081038376418988
ccomisiones_mantenimiento	0.00625630152476584	0.0156631706978934	0.0052250410090358
ccajas_consultas	0.00614041698969909	0.0197201478615194	0.00335105995483354
Master_mpagospesos	0.00607828012078039	0.00910416751941118	0.00786770598091353
Master_msaldopesos	0.00582453248758972	0.00903385947560499	0.0077596883062075
ctransferencias_emitidas	0.00565269549335143	0.00703477574509327	0.00883986505326779
cpagomiscuentas	0.00524518565341345	0.00694719785055656	0.00690057098645257
