Feature	Gain	Cover	Frequency
ctrx_quarter	0.225385289356402	0.025849791966449	0.0183566433566434
mcuentas_saldo	0.0983417254005042	0.0291012940589389	0.0327797202797203
mpayroll	0.0798017773626757	0.0268800594898843	0.0118006993006993
mpasivos_margen	0.0577425105901044	0.00955192589706443	0.0148601398601399
mprestamos_personales	0.0345609856631909	0.0317974458030753	0.0170454545454545
cpayroll_trx	0.0332189310493604	0.0118940048544459	0.00611888111888112
mcaja_ahorro	0.0250755460212257	0.0152164072996715	0.0166083916083916
mrentabilidad_annual	0.0246175689209692	0.0315557967465071	0.0375874125874126
mtarjeta_visa_consumo	0.0243034375443072	0.0161046437411389	0.0152972027972028
cprestamos_personales	0.0218792912022143	0.00847899900173098	0.00786713286713287
mactivos_margen	0.0169553374475693	0.0197244384110164	0.0292832167832168
mcomisiones_mantenimiento	0.0155728306875659	0.0166696222382337	0.0166083916083916
Visa_mpagominimo	0.0151298539823039	0.0105835121273405	0.020541958041958
mrentabilidad	0.0121636285267037	0.0159426572881825	0.0218531468531469
cliente_edad	0.0117499299147327	0.0162486767154193	0.0332167832167832
mcuenta_corriente	0.0117435770931829	0.0229294521153595	0.0257867132867133
ctarjeta_visa_transacciones	0.0108549271162342	0.00813631793551646	0.013548951048951
Master_fechaalta	0.0107457497979331	0.0177710999310721	0.0231643356643357
cdescubierto_preacordado	0.0105449706557293	0.0132270983102384	0.00874125874125874
ctarjeta_master	0.010355345294272	5.78959967214088e-05	0.000437062937062937
Visa_fechaalta	0.00997644530308582	0.0276103768151573	0.0270979020979021
Visa_status	0.00920137995610634	0.0199726810017885	0.0083041958041958
Master_status	0.00867630579544541	0.00704463521577861	0.00393356643356643
Master_Fvencimiento	0.00776917780440559	0.0160375009084977	0.0249125874125874
mcomisiones_otras	0.00748468744199381	0.00958967586638662	0.0148601398601399
ccajas_consultas	0.00738146218312416	0.0215663223308617	0.0113636363636364
Visa_msaldototal	0.00727768619110412	0.0165351220844891	0.0152972027972028
Visa_mconsumospesos	0.00695991477798647	0.00899157081792959	0.020541958041958
cproductos	0.00688552746895748	0.0140991845649146	0.0122377622377622
ccaja_seguridad	0.00643338245322898	0.0158960417957619	0.0083041958041958
mcomisiones	0.00642766422616261	0.00538203187414529	0.0126748251748252
ctarjeta_visa	0.00633851728888634	0.0030412398475362	0.00305944055944056
Visa_cconsumos	0.00609505675762217	0.00643506695062715	0.013986013986014
ctarjeta_debito_transacciones	0.00576346112500875	0.00897231452044705	0.0109265734265734
